Chr Gene nSNPs nSims Start Stop Test Pvalue TopSNP TopSNP-pvalue
12 "GAS2L3" 15 1e+05 100967488 101018685 66.6894561603036 0.00696993030069699 "rs35706" 0.00259305439999998
1 "LOC101927683" 5 1e+05 232862999 232878461 20.9359160290685 0.00697993020069799 "rs2132409" 0.00227529970000001
2 "ASIC4" 6 1e+05 220378891 220403494 28.2453463269764 0.00709992900070999 "rs3770234" 0.00318466800000001
17 "EFCAB5" 12 1e+05 28256873 28435470 60.037736475641 0.00729992700072999 "rs9906340" 0.000670943099999988
1 "IGSF9" 5 1e+05 159896828 159915386 17.7025094207057 0.00729992700072999 "rs4313394" 0.012990406
8 "PEX2" 4 1e+05 77892493 77913280 16.4869107897863 0.00729992700072999 "rs16939395" 0.0033127028
6 "PXDC1" 11 1e+05 3722835 3752246 38.6561846283958 0.00738992610073899 "rs7767269" 0.000713990770000017
11 "CKAP5" 6 1e+05 46765083 46867859 26.5897145976307 0.00745992540074599 "rs7940578" 0.00147235379999998
2 "SMEK2" 15 1e+05 55774427 55844860 61.8360308201212 0.00750992490075099 "rs35504023" 0.00072780554000001
21 "RCAN1" 45 1e+05 35888739 35987441 143.457636130911 0.00770992290077099 "rs3787720" 0.00205828849999999
23 "TBX22" 6 1e+05 79270254 79287268 28.5206392995197 0.00787992120078799 "rs6621546" 0.00842568199999999
2 "LOC101929231" 70 1e+05 150443871 150704748 198.100986990077 0.00798992010079899 "rs4667333" 0.00058847805000001
6 "CAP2" 54 1e+05 17393735 17558023 163.061641533997 0.00806991930080699 "rs9477420" 8.84951400000008e-05
12 "ZCCHC8" 3 1e+05 122956145 122985620 16.792763808762 0.00813991860081399 "rs4758658" 0.00186357500000001
5 "SSBP2" 60 1e+05 80713178 81047072 191.419780780853 0.00819991800081999 "rs10474035" 0.000555389849999997
1 "GFI1" 4 1e+05 92940317 92952433 17.9704946856357 0.00840991590084099 "rs942753" 0.00326067399999999
2 "SPRED2" 33 1e+05 65537984 65659656 124.501660816934 0.00841991580084199 "rs10170788" 0.000264345170000005
7 "ISPD" 111 1e+05 16127151 16460947 316.333274105478 0.00867991320086799 "rs1527198" 4.25759170000005e-05
18 "ELP2" 16 1e+05 33709836 33754688 71.9353659720714 0.00883991160088399 "rs12185396" 0.00316136729999999
18 "DSC2" 5 10000 28645941 28682388 20.9143225671755 0.008999100089991 "rs1790689" 0.0115654250000001
4 "KLF3" 11 10000 38665789 38703129 37.6487899606919 0.008999100089991 "rs10019144" 0.0031122058
22 "YPEL1" 10 10000 22051825 22090071 34.0981222401854 0.0090990900909909 "rs1045681" 0.000540789159999989
4 "TXK" 21 1e+05 48068409 48136273 91.0946937998763 0.00913990860091399 "rs17574051" 0.00013753101
4 "HELQ" 3 10000 84328498 84377025 16.5444722251697 0.0091990800919908 "rs4693626" 0.00952401850000005
4 "PET112" 33 10000 152591808 152682175 183.308570810073 0.0092990700929907 "rs2007218" 0.00199132
5 "ARHGEF37" 26 10000 148961134 149014527 100.189675886559 0.0092990700929907 "rs3733658" 7.31265699999999e-05
1 "BNIPL" 3 10000 151009028 151020076 18.5644908272542 0.0093990600939906 "rs6694158" 0.00544657699999999
14 "SEL1L" 3 10000 81937890 82000205 16.1545742039532 0.0094990500949905 "rs11847098" 0.00699769940000001
6 "LEMD2" 4 10000 33738989 33756906 18.9910241506838 0.0094990500949905 "rs943476" 0.00589257299999997
10 "ADD3-AS1" 11 10000 111705316 111768139 67.0152158849505 0.0095990400959904 "rs7080576" 0.000454640769999993
6 "LPAL2" 12 10000 160887586 160932156 48.7225427900613 0.0095990400959904 "rs9365166" 0.0064493287
19 "ZNF577" 18 1e+05 52359055 52391229 90.0385693512778 0.00970990290097099 "rs8106929" 0.000593963000000012
3 "EAF2" 12 1e+05 121554033 121605373 48.1591877055503 0.00974990250097499 "rs2332056" 0.00798232850000005
4 "GSTCD" 20 10000 106629940 106768882 83.4818789555101 0.0098990100989901 "rs11726124" 0.0016936001
17 "MED9" 3 10000 17380299 17396534 16.919109718718 0.00999900009999 "rs1242502" 0.00607434100000002
3 "IMPG2" 17 10000 100941389 101039419 71.7913596092479 0.0101989801019898 "rs1994201" 0.00141520109999997
8 "LINC00681" 8 10000 12651751 12675800 34.0301960154714 0.0101989801019898 "rs10101534" 0.009208186
6 "LACE1" 17 10000 108616097 108844251 59.9053570492712 0.0103989601039896 "rs6908664" 0.000977562599999998
12 "CLEC2B" 6 10000 10004967 10022458 24.9550829813768 0.0105989401059894 "rs10772219" 0.00367766699999999
14 "MIS18BP1" 3 10000 45672392 45722605 15.4722144729396 0.0105989401059894 "rs1252966" 0.0016899626
10 "BLNK" 35 10000 97951454 98031333 99.8671416430626 0.0106989301069893 "rs17111461" 0.000359319530000009
2 "IL1R1" 55 10000 102686835 102796334 174.925012805184 0.0106989301069893 "rs871657" 6.70696200000007e-05
7 "C7orf50" 39 10000 1036622 1177893 145.067063264844 0.0107989201079892 "rs10256972" 0.000269906830000002
2 "IQCA1" 20 10000 237232789 237416178 70.1407080945297 0.0108989101089891 "rs2317907" 0.00182845119999999
12 "TRHDE-AS1" 7 10000 72647286 72667289 29.0419088762857 0.010998900109989 "rs4254109" 0.00122651640000002
11 "PAK1" 25 10000 77033059 77185108 98.0495176077568 0.0110988901109889 "rs3015988" 0.0016089114
6 "ORC3" 9 10000 88299784 88377172 32.7623090188363 0.0111988801119888 "rs6907107" 0.00830087800000001
5 "OTP" 2 10000 76924536 76934522 12.3232788059806 0.0113988601139886 "rs12697870" 0.00407988620000002
8 "RSPO2" 52 10000 108911543 109095913 153.040344363538 0.0114988501149885 "rs7014699" 0.000328727239999995
14 "FAM179B" 5 10000 45431415 45543634 23.0684242689549 0.0115988401159884 "rs10131615" 0.0017936294
11 "KRT8P41" 3 10000 9115909 9117737 12.2713959883631 0.0116988301169883 "rs7949022" 0.0123614315
16 "FBXL19" 2 10000 30934375 30960104 12.5894906134613 0.0116988301169883 "rs10782002" 0.00487715600000001
5 "C5orf52" 2 10000 157098560 157107162 13.1825634641447 0.0117988201179882 "rs10071628" 0.00693855800000003
11 "LRP4-AS1" 5 10000 46867961 46895967 24.6343849112803 0.0118988101189881 "rs6485700" 0.005288977
13 "NUPL1" 3 10000 25875665 25916561 14.6360196574655 0.0118988101189881 "rs3924002" 0.0015675558
2 "ATG4B" 7 10000 242577026 242613271 28.4154674357077 0.0118988101189881 "rs6437273" 0.00493015999999999
4 "CSN1S2BP" 6 10000 70999320 71012421 23.8816431975592 0.0120987901209879 "rs13142709" 0.00225206580000001
8 "CPQ" 60 10000 97657454 98155731 166.84082495013 0.0120987901209879 "rs10808351" 0.00600113699999998
2 "ACTR2" 9 10000 65454828 65498390 31.3474331927314 0.0121987801219878 "rs6745303" 0.0017873442
18 "CELF4" 117 10000 34823007 35146000 236.761579981089 0.0122987701229877 "rs1786811" 0.000332880849999996
21 "DSCAM" 412 10000 41384342 42219039 689.652259305747 0.0122987701229877 "rs765311" 7.84174199999992e-05
8 "KBTBD11" 10 10000 1922043 1955109 33.904943323255 0.0123987601239876 "rs4492421" 0.00267143099999999
11 "PTGDR2" 2 10000 60618397 60623444 8.79067938835794 0.0124987501249875 "rs6591629" 0.00356504040000001
1 "TARS2" 2 10000 150459839 150480085 12.3992990381971 0.0124987501249875 "rs12116970" 0.00960654999999998
4 "ARHGEF38" 47 10000 106473776 106602070 113.443865405344 0.0124987501249875 "rs11721732" 0.0016631853
13 "NEK3" 5 10000 52706778 52733996 25.9964604387472 0.0125987401259874 "rs2408611" 0.00155907939999998
16 "SULT1A1" 2 10000 28616907 28634907 12.1426903809932 0.0125987401259874 "rs2411453" 0.00600194299999999
17 "NSRP1" 7 10000 28443824 28513493 35.3595683796942 0.0126987301269873 "rs6505162" 0.0016430465
12 "GLYCAM1" 2 10000 55001970 55004246 12.1081922426066 0.0128987101289871 "rs939463" 0.0041447105
15 "ACTC1" 2 10000 35080296 35087927 9.35786881367533 0.0128987101289871 "rs2070664" 0.00614415850000001
15 "MESDC2" 7 10000 81268094 81282205 31.6222339886325 0.012998700129987 "rs8029934" 0.00753241400000002
6 "PHACTR1" 218 10000 12717036 13288075 470.749818713033 0.012998700129987 "rs9381634" 0.000232120959999997
7 "CALD1" 67 10000 134464163 134655480 181.035793658209 0.012998700129987 "rs3823568" 0.000445878830000008
9 "ZBTB43" 2 10000 129567284 129600487 8.76626841664616 0.0131986801319868 "rs1329407" 0.00350605110000001
12 "NUP107" 8 10000 69080730 69136473 33.831712523314 0.0132986701329867 "rs2701097" 0.00662225069999999
1 "PADI1" 21 10000 17531620 17572501 52.8659393309809 0.0132986701329867 "rs3750297" 0.0027670646
23 "CASK" 40 10000 41374188 41782287 172.500458873998 0.0133986601339866 "rs480680" 0.00219953999999999
16 "VPS4A" 2 10000 69345286 69358946 8.56458322163708 0.0134986501349865 "rs3852689" 0.00722318469999995
21 "LINC00113" 6 10000 29094697 29123552 27.3580351770972 0.0137986201379862 "rs2831137" 0.00575625500000001
5 "C7" 39 10000 40909598 40983042 117.485695223239 0.0137986201379862 "rs2675979" 0.0026620962
11 "COLCA2" 2 10000 111169270 111179460 9.15443489091141 0.0138986101389861 "rs12792445" 0.004265558
13 "NEK5" 9 10000 52638899 52703214 42.4726643062008 0.013998600139986 "rs9535858" 0.0028562609
3 "ACAD9" 5 10000 128598332 128631957 25.8777435395977 0.013998600139986 "rs1680778" 0.00732408000000001
4 "ENOPH1" 6 10000 83351632 83382328 19.5748913622964 0.0140985901409859 "rs10516674" 0.010325034
12 "KLRG1" 7 10000 9142220 9163340 28.3763041736223 0.0141985801419858 "rs1805721" 0.000271864600000006
7 "TRA2A" 4 10000 23544400 23571660 17.2625219379291 0.0141985801419858 "rs10499565" 0.00772093659999993
9 "UGCG" 7 10000 114659205 114695433 31.7914311146698 0.0141985801419858 "rs7042346" 0.00139593760000001
14 "FANCM" 4 10000 45605135 45670093 17.4443082501957 0.0142985701429857 "rs2033385" 0.00872923200000002
1 "UBE2U" 12 10000 64669489 64710027 42.1899828105822 0.0142985701429857 "rs41377048" 0.0023417468
12 "YARS2" 6 10000 32899477 32908887 36.3276284572171 0.0144985501449855 "rs11052214" 0.006103571
7 "ISPD-AS1" 22 10000 16250110 16310229 68.9837539204633 0.0144985501449855 "rs17458603" 0.000423810969999999
12 "GNN" 58 10000 104237526 104323989 188.517352847627 0.0145985401459854 "rs10861124" 0.000131334079999998
13 "SUGT1" 2 10000 53226830 53262433 8.47875690213773 0.0146985301469853 "rs9526974" 0.00526175199999997
3 "IP6K2" 5 10000 48725435 48754711 22.7772765554545 0.0146985301469853 "rs4858831" 0.00404676999999998
1 "EVI5" 30 10000 92974252 93257961 117.542618428341 0.0147985201479852 "rs4970700" 0.00209358059999999
9 "LOC101927873" 72 10000 93063177 93195771 204.844566947941 0.0147985201479852 "rs883924" 0.000510196599999997
19 "HCCAT3" 5 10000 52452386 52484620 27.079024140513 0.0148985101489851 "rs2015845" 0.00400803659999999
16 "LOC100506655" 3 10000 25151891 25160353 17.0072251219177 0.014998500149985 "rs277913" 0.00698246400000004
19 "CEACAM5" 5 10000 42212529 42234341 18.6973592650995 0.014998500149985 "rs7257798" 0.0019674783
3 "LRRC58" 3 10000 120043575 120068186 13.2441124536017 0.014998500149985 "rs6803206" 0.00856050499999999
3 "CNTN4" 475 10000 2140549 3099645 695.86640014086 0.0150984901509849 "rs2616589" 0.000160874439999999
20 "C20orf24" 2 10000 35234136 35240960 11.158564424576 0.0151984801519848 "rs6071671" 0.0175690109999999
17 "CCR7" 3 10000 38710021 38721736 10.5373163409246 0.0153984601539846 "rs2023906" 0.00908252700000002
19 "NOSIP" 2 10000 50058724 50083829 10.2636667735669 0.0153984601539846 "rs9304689" 0.00887350099999998
20 "BANF2" 24 10000 17674319 17716517 75.6446284888965 0.0153984601539846 "rs4814641" 0.0023712185
12 "TMEM19" 3 10000 72079877 72097839 16.0308228599804 0.0155984401559844 "rs1043781" 0.0020165667
4 "MRPS18C" 2 10000 84377117 84382929 11.2908007095599 0.0155984401559844 "rs11099601" 0.00705499899999999
5 "RICTOR" 14 10000 38938022 39074510 45.4193921273317 0.0155984401559844 "rs2043112" 0.0018388694
3 "LOC339874" 10 10000 131043935 131100319 39.9682460058311 0.0157984201579842 "rs17354529" 0.00327568829999999
10 "KCNK18" 9 10000 118956999 118969810 33.5976731858357 0.0158984101589841 "rs963975" 0.0021966167
11 "F2" 4 10000 46740742 46761056 15.3538531684109 0.0158984101589841 "rs2070852" 0.000542477000000006
3 "CNOT10" 10 10000 32726636 32815367 29.8259996114056 0.0158984101589841 "rs12634822" 0.000221744539999999
1 "CD84" 14 10000 160510883 160549306 46.8464304837173 0.015998400159984 "rs17381453" 0.00588984699999998
18 "AFG3L2" 6 10000 12328942 12377275 20.4635482179802 0.0161983801619838 "rs7235296" 0.013552135
7 "GSAP" 35 10000 76940067 77045717 96.0906087143163 0.0161983801619838 "rs11772568" 0.000408958149999998
12 "DNM1L" 15 10000 32832133 32898584 77.7649570488003 0.0162983701629837 "rs11052177" 0.0047676
14 "CYP46A1" 9 10000 100150754 100193638 29.2168548766401 0.0162983701629837 "rs4485283" 0.00132872409999999
2 "EML4" 34 10000 42396489 42559688 109.438336714233 0.0163983601639836 "rs6544537" 0.00117156180000002
6 "LINC01010" 31 10000 134758853 134825158 103.178194335639 0.0163983601639836 "rs6929591" 0.00311385539999999
11 "LGALS12" 3 10000 63273523 63284246 10.7673540545601 0.0166983301669833 "rs10897430" 0.00900385000000001
23 "GRPR" 4 10000 16141423 16171641 21.6113418339751 0.0167983201679832 "rs5980232" 0.00139321240000001
6 "MAPK13" 2 10000 36098260 36112301 8.96524408949414 0.0167983201679832 "rs2859136" 0.00397146730000003
12 "SLC41A2" 27 10000 105197274 105322472 92.2374680747654 0.0168983101689831 "rs10507183" 0.000155933499999997
19 "NDUFA7" 2 10000 8376183 8386280 11.175360138306 0.0168983101689831 "rs8107330" 0.013684163
4 "LINC01088" 74 10000 79892901 80229953 175.888238833952 0.0168983101689831 "rs7681755" 0.000349599429999993
13 "TMEM255B" 9 10000 114462215 114514899 36.8494600371369 0.016998300169983 "rs7491716" 0.0023931914
20 "LBP" 16 10000 36974813 37005653 41.5582897045393 0.016998300169983 "rs1739638" 0.00674676339999999
3 "IFT80" 6 10000 159974773 160117320 21.6830813429084 0.016998300169983 "rs16831149" 0.0015884838
11 "OR51I1" 2 10000 5461771 5462783 8.64962989291217 0.0170982901709829 "rs11037444" 0.00501662959999999
